0,0
0.185623,0.185362
0.409467,0.413453
0.441535,0.412862
0.816225,0.846065
0.984068,0.978575
1.21166,1.21637
1.33099,1.31721
1.61543,1.62986
1.8924,1.90555
2.01435,2.00102
2.30241,2.31746
2.36824,2.34532
2.50573,2.49506
2.84268,2.86607
2.95282,2.93747
3.32003,3.3486
3.3467,3.31709
3.37365,3.34409
3.69107,3.71113
3.938,3.94602
4.27801,4.30192
4.35766,4.3371
4.5526,4.55174
4.82209,4.83396
4.99286,4.98787
5.37908,5.41089
5.39444,5.3629
5.57464,5.57126
5.59973,5.56986
5.8803,5.89407
6.17728,6.19385
6.52096,6.5455
6.73332,6.73543
6.89848,6.89253
6.99359,6.97567
7.32851,7.35156
7.43562,7.41975
7.69136,7.70089
7.85087,7.84395
8.04491,8.04389
8.26171,8.26457
8.39806,8.38719
8.45572,8.4314
8.93067,8.97764
8.96664,8.93861
9.23526,9.24699
9.3554,9.34176
9.65059,9.66685
9.79852,9.78963
10.0125,10.0149
